pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,,,5269,,,0
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,251,France,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,,,22,,,0
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,842,United States of America,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,,,5247,,,0
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,,,1039,,,0
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,251,France,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,,,129,,,0
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,842,United States of America,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,,,910,,,0
HS,2012,201203,March 2012,2,0,2,Exports,212,Dominica,,0,World,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,,,462,,,0
HS,2012,201203,March 2012,2,0,2,Exports,212,Dominica,,28,Antigua and Barbuda,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,,,244,,,0
HS,2012,201203,March 2012,2,0,2,Exports,212,Dominica,,251,France,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,,,193,,,0
HS,2012,201203,March 2012,2,0,2,Exports,212,Dominica,,899,"Areas, nes",,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,,,26,,,0
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,134532,,,0
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,52,Barbados,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,8739,,,0
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,124,Canada,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,5036,,,0
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,251,France,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,290,,,0
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,591,Panama,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,1049,,,0
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,780,Trinidad and Tobago,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,51898,,,0
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,826,United Kingdom,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,7402,,,0
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,842,United States of America,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,59722,,,0
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,899,"Areas, nes",,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,396,,,0
HS,2012,201203,March 2012,2,0,2,Exports,212,Dominica,,0,World,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,19393,,,0
HS,2012,201203,March 2012,2,0,2,Exports,212,Dominica,,28,Antigua and Barbuda,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,2837,,,0
HS,2012,201203,March 2012,2,0,2,Exports,212,Dominica,,251,France,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,10940,,,0
HS,2012,201203,March 2012,2,0,2,Exports,212,Dominica,,410,Rep. of Korea,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,2181,,,0
HS,2012,201203,March 2012,2,0,2,Exports,212,Dominica,,659,Saint Kitts and Nevis,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,3434,,,0
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,0,World,,,,,,,,,01,Animals; live,,,,,,,,,19640,,,0
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,52,Barbados,,,,,,,,,01,Animals; live,,,,,,,,,15288,,,0
HS,2012,201203,March 2012,2,0,1,Imports,212,Dominica,,842,United States of America,,,,,,,,,01,Animals; live,,,,,,,,,4352,,,0
