pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2012,201212,December 2012,2,0,2,Exports,304,Greenland,,208,Denmark,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,6288,,,0
HS,2012,201212,December 2012,2,0,2,Exports,304,Greenland,,0,World,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,6288,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,764,Thailand,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,881,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,724,Spain,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,131,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,752,Sweden,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,986,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,616,Poland,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,6395,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,598,Papua New Guinea,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,2522,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,554,New Zealand,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,202126,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,528,Netherlands,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,49741,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,440,Lithuania,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,1411,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,372,Ireland,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,242,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,381,Italy,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,142,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,276,Germany,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,88674,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,251,France,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,19983,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,152,Chile,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,2998,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,124,Canada,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,1122,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,76,Brazil,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,24758,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,36,Australia,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,24023,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,208,Denmark,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,709647,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,0,World,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,1135782,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,156,China,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,4209,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,251,France,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,9557,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,152,Chile,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,10116,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,68,Bolivia,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,33,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,76,Brazil,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,4529,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,124,Canada,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,83,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,32,Argentina,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,385,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,56,Belgium,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,7514,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,300,Greece,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,1154,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,348,Hungary,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,30,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,188,Costa Rica,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,276,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,218,Ecuador,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,32,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,381,Italy,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,933,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,276,Germany,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,564,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,404,Kenya,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,223,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,458,Malaysia,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,13,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,376,Israel,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,1884,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,384,Côte d'Ivoire,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,538,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,364,Iran,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,31,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,372,Ireland,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,30,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,360,Indonesia,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,19,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,528,Netherlands,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,5060,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,504,Morocco,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,2028,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,484,Mexico,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,477,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,554,New Zealand,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,4675,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,620,Portugal,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,1244,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,699,India,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,4003,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,616,Poland,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,1696,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,752,Sweden,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,60,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,716,Zimbabwe,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,31,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,788,Tunisia,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,18,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,694,Sierra Leone,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,38,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,842,United States of America,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,3946,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,858,Uruguay,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,7,,,0
HS,2012,201212,December 2012,2,0,1,Imports,304,Greenland,,764,Thailand,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,201,,,0
