pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,0,World,,,,,,,,,01,Animals; live,,,,,,,,,8209,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,251,France,,,,,,,,,01,Animals; live,,,,,,,,,8209,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,539123,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,251,France,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,1534,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,478,Mauritania,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,58081,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,686,Senegal,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,479508,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,0,World,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,1622701,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,32,Argentina,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,162351,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,56,Belgium,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,345770,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,156,China,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,296,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,203,Czech Rep.,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,93091,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,251,France,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,30664,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,352,Iceland,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,342398,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,372,Ireland,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,39838,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,81547,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,478,Mauritania,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,8185,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,528,Netherlands,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,212888,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,554,New Zealand,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,256955,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,784,United Arab Emirates,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,48719,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,0,World,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,,,25894,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,686,Senegal,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,,,25894,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,0,World,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,,,624,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,,,624,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,0,World,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,134229,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,156,China,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,12273,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,251,France,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,12203,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,40174,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,478,Mauritania,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,3458,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,528,Netherlands,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,11066,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,566,Nigeria,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,757,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,686,Senegal,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,1685,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,842,United States of America,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,52613,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,0,World,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,200881,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,12,Algeria,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,52449,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,324,Guinea,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,11267,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,104163,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,562,Niger,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,9461,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,566,Nigeria,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,21956,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,710,South Africa,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,1584,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,0,World,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,1552987,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,76,Brazil,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,49576,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,144,Sri Lanka,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,18149,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,156,China,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,1224010,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,251,France,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,6535,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,3887,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,562,Niger,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,241,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,784,United Arab Emirates,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,250589,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,0,World,,,,,,,,,10,Cereals,,,,,,,,,6340872,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,32,Argentina,,,,,,,,,10,Cereals,,,,,,,,,1007369,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,76,Brazil,,,,,,,,,10,Cereals,,,,,,,,,348015,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,104,Myanmar,,,,,,,,,10,Cereals,,,,,,,,,52714,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,156,China,,,,,,,,,10,Cereals,,,,,,,,,60,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,251,France,,,,,,,,,10,Cereals,,,,,,,,,2756139,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,10,Cereals,,,,,,,,,4149,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,434,Libya,,,,,,,,,10,Cereals,,,,,,,,,63,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,586,Pakistan,,,,,,,,,10,Cereals,,,,,,,,,564396,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,699,India,,,,,,,,,10,Cereals,,,,,,,,,784881,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,704,Viet Nam,,,,,,,,,10,Cereals,,,,,,,,,610280,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,710,South Africa,,,,,,,,,10,Cereals,,,,,,,,,212805,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,0,World,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,,,1132780,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,156,China,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,,,4028,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,251,France,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,,,200642,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,288,Ghana,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,,,217,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,,,118305,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,686,Senegal,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,,,321920,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,724,Spain,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,,,89038,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,792,Turkey,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,,,398630,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,0,World,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,736666,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,251,France,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,105554,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,375418,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,528,Netherlands,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,57446,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,686,Senegal,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,196397,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,788,Tunisia,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,1851,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,0,World,,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",,,,,,,,,39638,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,12,Algeria,,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",,,,,,,,,343,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,562,Niger,,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",,,,,,,,,1811,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,724,Spain,,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",,,,,,,,,37484,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,0,World,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,596412,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,251,France,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,294,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,483097,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,422,Lebanon,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,177,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,434,Libya,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,44,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,842,United States of America,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,112799,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,0,World,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,,,51271,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,156,China,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,,,18028,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,251,France,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,,,8744,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,422,Lebanon,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,,,304,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,478,Mauritania,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,,,24196,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,0,World,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,2037477,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,76,Brazil,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,1981345,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,156,China,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,1112,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,251,France,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,1074,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,288,Ghana,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,2811,,,0
