pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2012,201204,April 2012,2,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,01,Animals; live,,,,,,,,,16390,,,0
HS,2012,201204,April 2012,2,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,1791440,,,0
HS,2012,201204,April 2012,2,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,,,164810,,,0
HS,2012,201204,April 2012,2,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,,,281240,,,0
HS,2012,201204,April 2012,2,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,,,,,,,,,930,,,0
HS,2012,201204,April 2012,2,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,221410,,,0
HS,2012,201204,April 2012,2,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,,,207470,,,0
HS,2012,201204,April 2012,2,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,60,Fabrics; knitted or crocheted,,,,,,,,,2550,,,0
HS,2012,201204,April 2012,2,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,70,Glass and glassware,,,,,,,,,318950,,,0
HS,2012,201204,April 2012,2,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",,,,,,,,,1920,,,0
HS,2012,201204,April 2012,2,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,2179160,,,0
HS,2012,201204,April 2012,2,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,78,Lead and articles thereof,,,,,,,,,3330,,,0
HS,2012,201204,April 2012,2,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",,,,,,,,,238050,,,0
HS,2012,201204,April 2012,2,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,83,Metal; miscellaneous products of base metal,,,,,,,,,366870,,,0
HS,2012,201204,April 2012,2,0,1,Imports,508,Mozambique,,0,World,,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",,,,,,,,,6045430,,,0
HS,2012,201204,April 2012,2,0,1,Imports,508,Mozambique,,404,Kenya,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,21150,,,0
HS,2012,201204,April 2012,2,0,1,Imports,508,Mozambique,,620,Portugal,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,176710,,,0
