pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,0,World,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,1030,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,212,Dominica,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,1018,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,660,Anguilla,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,12,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,0,World,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,4186,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,662,Saint Lucia,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,4186,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,0,World,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,3135,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,28,Antigua and Barbuda,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,1007,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,308,Grenada,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,656,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,662,Saint Lucia,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,410,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,670,Saint Vincent and the Grenadines,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,1063,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,0,World,,,,,,,,,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",,,,,,,,,29402,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,92,Br. Virgin Isds,,,,,,,,,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",,,,,,,,,1624,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,212,Dominica,,,,,,,,,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",,,,,,,,,1763,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,300,Greece,,,,,,,,,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",,,,,,,,,510,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,308,Grenada,,,,,,,,,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",,,,,,,,,11712,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,662,Saint Lucia,,,,,,,,,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",,,,,,,,,10784,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,670,Saint Vincent and the Grenadines,,,,,,,,,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",,,,,,,,,2900,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,842,United States of America,,,,,,,,,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",,,,,,,,,110,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,0,World,,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,,,,,,,,,25989,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,28,Antigua and Barbuda,,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,,,,,,,,,8689,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,92,Br. Virgin Isds,,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,,,,,,,,,8448,,,0
HS,2013,201301,January 2013,2,0,3,Re-exports,52,Barbados,,212,Dominica,,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,,,,,,,,,2138,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,0,World,,,,,,,,,89,"Ships, boats and floating structures",,,,,,,,,3375331,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,28,Antigua and Barbuda,,,,,,,,,89,"Ships, boats and floating structures",,,,,,,,,60552,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,36,Australia,,,,,,,,,89,"Ships, boats and floating structures",,,,,,,,,5690,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,44,Bahamas,,,,,,,,,89,"Ships, boats and floating structures",,,,,,,,,19726,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,60,Bermuda,,,,,,,,,89,"Ships, boats and floating structures",,,,,,,,,50,,,0
