pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,0,World,,,,,,,,,01,Animals; live,,,,,,,,,2964,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,842,United States of America,,,,,,,,,01,Animals; live,,,,,,,,,2964,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,18529,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,124,Canada,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,5619,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,780,Trinidad and Tobago,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,691,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,842,United States of America,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,12219,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,0,World,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,2771262,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,40,Austria,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,11217,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,52,Barbados,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,54828,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,56,Belgium,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,4621,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,124,Canada,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,1788,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,152,Chile,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,2943,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,156,China,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,122507,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,188,Costa Rica,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,9390,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,208,Denmark,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,27573,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,388,Jamaica,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,83829,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,458,Malaysia,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,16585,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,528,Netherlands,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,46445,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,616,Poland,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,23101,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,662,Saint Lucia,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,185472,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,704,Viet Nam,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,4880,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,740,Suriname,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,371385,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,764,Thailand,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,3656,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,780,Trinidad and Tobago,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,1450012,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,792,Turkey,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,16544,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,818,Egypt,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,1491,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,826,United Kingdom,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,12593,,,0
