pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,01,Animals; live,,,,,,,,,7,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,36,Australia,,,,,,,,,01,Animals; live,,,,,,,,,7,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,147325,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,36,Australia,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,140807,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,242,Fiji,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,5827,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,842,United States of America,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,691,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,265915,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,36,Australia,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,43728,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,156,China,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,916,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,242,Fiji,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,197115,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,458,Malaysia,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,22893,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,842,United States of America,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,1264,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,65111,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,392,Japan,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,65111,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,33712,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,36,Australia,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,13757,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,156,China,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,568,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,242,Fiji,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,7384,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,490,"Other Asia, nes",,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,97,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,554,New Zealand,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,11036,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,842,United States of America,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,870,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,12840,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,36,Australia,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,9181,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,156,China,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,123,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,242,Fiji,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,492,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,554,New Zealand,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,2204,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,792,Turkey,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,136,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,842,United States of America,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,704,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,65703,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,36,Australia,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,32314,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,156,China,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,597,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,242,Fiji,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,31185,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,276,Germany,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,17,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,300,Greece,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,69,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,360,Indonesia,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,844,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,490,"Other Asia, nes",,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,43,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,554,New Zealand,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,475,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,842,United States of America,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,160,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,10,Cereals,,,,,,,0,,549022,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,36,Australia,,,,,,,,,10,Cereals,,,,,,,0,,116439,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,156,China,,,,,,,,,10,Cereals,,,,,,,0,,239529,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,242,Fiji,,,,,,,,,10,Cereals,,,,,,,0,,555,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,344,"China, Hong Kong SAR",,,,,,,,,10,Cereals,,,,,,,0,,21684,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,490,"Other Asia, nes",,,,,,,,,10,Cereals,,,,,,,0,,30,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,704,Viet Nam,,,,,,,,,10,Cereals,,,,,,,0,,170786,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,119765,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,36,Australia,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,2526,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,242,Fiji,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,107572,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,490,"Other Asia, nes",,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,13,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,702,Singapore,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,9655,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,568794,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,156,China,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,618,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,242,Fiji,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,1494,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,392,Japan,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,489,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,490,"Other Asia, nes",,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,8466,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,548,Vanuatu,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,557634,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,842,United States of America,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,92,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,27262,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,36,Australia,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,892,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,156,China,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,1104,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,242,Fiji,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,4677,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,360,Indonesia,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,19437,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,458,Malaysia,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,482,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,724,Spain,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,553,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,842,United States of America,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,118,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,224707,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,36,Australia,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,69376,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,156,China,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,66928,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,242,Fiji,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,87536,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,458,Malaysia,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,2,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,490,"Other Asia, nes",,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,4,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,704,Viet Nam,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,366,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,842,United States of America,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,495,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,332581,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,36,Australia,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,44302,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,156,China,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,29907,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,242,Fiji,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,152235,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,276,Germany,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,405,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,344,"China, Hong Kong SAR",,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,6751,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,360,Indonesia,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,14912,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,410,Rep. of Korea,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,34890,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,458,Malaysia,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,25270,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,490,"Other Asia, nes",,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,7046,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,699,India,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,7361,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,702,Singapore,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,387,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,704,Viet Nam,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,8037,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,764,Thailand,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,569,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,842,United States of America,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,509,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,0,,218458,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,36,Australia,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,0,,43419,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,156,China,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,0,,2033,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,242,Fiji,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,0,,110272,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,360,Indonesia,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,0,,8500,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,458,Malaysia,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,0,,5914,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,490,"Other Asia, nes",,,,,,,,,17,Sugars and sugar confectionery,,,,,,,0,,2760,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,554,New Zealand,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,0,,404,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,764,Thailand,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,0,,44907,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,842,United States of America,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,0,,248,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,19733,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,36,Australia,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,12978,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,156,China,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,861,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,242,Fiji,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,3407,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,276,Germany,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,260,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,360,Indonesia,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,1823,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,490,"Other Asia, nes",,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,177,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,842,United States of America,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,226,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,0,World,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,10414,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,36,Australia,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,2916,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,360,Indonesia,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,4228,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,458,Malaysia,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,3248,,,0
HS,2018,201808,August 2018,2,0,1,Imports,296,Kiribati,,554,New Zealand,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,22,,,0
