pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2018,201810,October 2018,2,0,3,Re-exports,768,Togo,,724,Spain,,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",,,,,,,0,,31550,,,0
HS,2018,201810,October 2018,2,0,3,Re-exports,768,Togo,,251,France,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,5569,,,0
HS,2018,201810,October 2018,2,0,2,Exports,768,Togo,,0,World,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,1764692,,,0
HS,2018,201810,October 2018,2,0,2,Exports,768,Togo,,0,World,,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",,,,,,,0,,988778,,,0
HS,2018,201810,October 2018,2,0,1,Imports,768,Togo,,392,Japan,,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",,,,,,,0,,103970,,,0
HS,2018,201810,October 2018,2,0,3,Re-exports,768,Togo,,678,Sao Tome and Principe,,,,,,,,,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.s.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",,,,,,,0,,1039,,,0
HS,2018,201810,October 2018,2,0,1,Imports,768,Togo,,0,World,,,,,,,,,83,Metal; miscellaneous products of base metal,,,,,,,0,,537938,,,0
HS,2018,201810,October 2018,2,0,1,Imports,768,Togo,,0,World,,,,,,,,,70,Glass and glassware,,,,,,,0,,633658,,,0
HS,2018,201810,October 2018,2,0,1,Imports,768,Togo,,0,World,,,,,,,,,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",,,,,,,0,,128355,,,0
HS,2018,201810,October 2018,2,0,1,Imports,768,Togo,,276,Germany,,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",,,,,,,0,,476891,,,0
HS,2018,201810,October 2018,2,0,1,Imports,768,Togo,,566,Nigeria,,,,,,,,,70,Glass and glassware,,,,,,,0,,32490,,,0
HS,2018,201810,October 2018,2,0,1,Imports,768,Togo,,579,Norway,,,,,,,,,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",,,,,,,0,,8310,,,0
HS,2018,201810,October 2018,2,0,1,Imports,768,Togo,,792,Turkey,,,,,,,,,83,Metal; miscellaneous products of base metal,,,,,,,0,,1045,,,0
HS,2018,201810,October 2018,2,0,2,Exports,768,Togo,,344,"China, Hong Kong SAR",,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,26992,,,0
HS,2018,201810,October 2018,2,0,2,Exports,768,Togo,,710,South Africa,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,1975,,,0
HS,2018,201810,October 2018,2,0,2,Exports,768,Togo,,404,Kenya,,,,,,,,,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.s.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",,,,,,,0,,12629,,,0
HS,2018,201810,October 2018,2,0,2,Exports,768,Togo,,466,Mali,,,,,,,,,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.s.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",,,,,,,0,,40266,,,0
HS,2018,201810,October 2018,2,0,2,Exports,768,Togo,,288,Ghana,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,325508,,,0
