pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,227946,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,533,Aruba,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,172500,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,422,Lebanon,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,22500,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,760,Syria,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,16875,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,818,Egypt,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,16071,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,688,Serbia,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,966616,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,966616,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,177700,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,784,United Arab Emirates,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,23109,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,688,Serbia,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,146004,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,156,China,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,8587,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,699,India,,,,,,,,,76,Aluminium and articles thereof,,,,,,,0,,111374,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,76,Aluminium and articles thereof,,,,,,,0,,313503,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,533,Aruba,,,,,,,,,76,Aluminium and articles thereof,,,,,,,0,,85374,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,784,United Arab Emirates,,,,,,,,,76,Aluminium and articles thereof,,,,,,,0,,116755,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,533,Aruba,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,35000,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,40500,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,512,Oman,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,5500,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,792,Turkey,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,6000,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,512,Oman,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,7713,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,400,Jordan,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,254981,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,760,Syria,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,6900,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,784,United Arab Emirates,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,2550,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,634,Qatar,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,6558,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,292466,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,682,Saudi Arabia,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,7764,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,533,Aruba,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,5486,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,5486,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,434,Libya,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,94963,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,392,Japan,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,64711,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,56,Belgium,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,74322,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,484,Mexico,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,409067,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,784,United Arab Emirates,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,57500,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,8521585,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,818,Egypt,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,5787251,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,887,Yemen,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,7800,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,533,Aruba,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,41200,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,251,France,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,1921438,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,246,Finland,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,63333,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,688,Serbia,,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",,,,,,,0,,24408,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",,,,,,,0,,24408,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,688,Serbia,,,,,,,,,29,Organic chemicals,,,,,,,0,,181075,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,29,Organic chemicals,,,,,,,0,,181075,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,381,Italy,,,,,,,,,41,Raw hides and skins (other than furskins) and leather,,,,,,,0,,100500,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,156,China,,,,,,,,,41,Raw hides and skins (other than furskins) and leather,,,,,,,0,,68638,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,41,Raw hides and skins (other than furskins) and leather,,,,,,,0,,2557806,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,586,Pakistan,,,,,,,,,41,Raw hides and skins (other than furskins) and leather,,,,,,,0,,7000,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,566,Nigeria,,,,,,,,,41,Raw hides and skins (other than furskins) and leather,,,,,,,0,,12819,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,682,Saudi Arabia,,,,,,,,,41,Raw hides and skins (other than furskins) and leather,,,,,,,0,,1967574,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,760,Syria,,,,,,,,,41,Raw hides and skins (other than furskins) and leather,,,,,,,0,,98782,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,792,Turkey,,,,,,,,,41,Raw hides and skins (other than furskins) and leather,,,,,,,0,,200933,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,533,Aruba,,,,,,,,,41,Raw hides and skins (other than furskins) and leather,,,,,,,0,,101560,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,74,Copper and articles thereof,,,,,,,0,,1239081,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,699,India,,,,,,,,,74,Copper and articles thereof,,,,,,,0,,752881,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,533,Aruba,,,,,,,,,74,Copper and articles thereof,,,,,,,0,,486200,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,156,China,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,1296,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,693347,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,688,Serbia,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,692051,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,760,Syria,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,0,,700,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,0,,700,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,688,Serbia,,,,,,,,,73,Iron or steel articles,,,,,,,0,,210791,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,73,Iron or steel articles,,,,,,,0,,210791,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,422,Lebanon,,,,,,,,,10,Cereals,,,,,,,0,,45000,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,10,Cereals,,,,,,,0,,45000,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,688,Serbia,,,,,,,,,39,Plastics and articles thereof,,,,,,,0,,10500,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,156,China,,,,,,,,,39,Plastics and articles thereof,,,,,,,0,,57243,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,39,Plastics and articles thereof,,,,,,,0,,67743,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,682,Saudi Arabia,,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",,,,,,,0,,3750,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",,,,,,,0,,14896,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,699,India,,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",,,,,,,0,,11146,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,688,Serbia,,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",,,,,,,0,,5556,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",,,,,,,0,,5556,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,88,"Aircraft, spacecraft and parts thereof",,,,,,,0,,8744,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,528,Netherlands,,,,,,,,,88,"Aircraft, spacecraft and parts thereof",,,,,,,0,,6494,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,276,Germany,,,,,,,,,88,"Aircraft, spacecraft and parts thereof",,,,,,,0,,650,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,634,Qatar,,,,,,,,,88,"Aircraft, spacecraft and parts thereof",,,,,,,0,,1600,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,818,Egypt,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,0,,194,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,0,,194,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,24,Tobacco and manufactured tobacco substitutes,,,,,,,0,,109628,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,688,Serbia,,,,,,,,,24,Tobacco and manufactured tobacco substitutes,,,,,,,0,,109628,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,688,Serbia,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,0,,66938,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,0,,66938,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,688,Serbia,,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",,,,,,,0,,500,,,0
HS,2012,201201,January 2012,2,0,2,Exports,729,Sudan,,0,World,,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",,,,,,,0,,7167,,,0
