pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,0,World,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,1769,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,212,Dominica,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,1018,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,660,Anguilla,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,119,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,670,Saint Vincent and the Grenadines,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,627,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,780,Trinidad and Tobago,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,5,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,0,World,,,,,,,,,26,"Ores, slag and ash",,,,,,,,,220,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,670,Saint Vincent and the Grenadines,,,,,,,,,26,"Ores, slag and ash",,,,,,,,,200,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,826,United Kingdom,,,,,,,,,26,"Ores, slag and ash",,,,,,,,,20,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,0,World,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,53399,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,308,Grenada,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,7805,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,662,Saint Lucia,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,4186,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,670,Saint Vincent and the Grenadines,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,41401,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,842,United States of America,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,7,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,0,World,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,295682,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,28,Antigua and Barbuda,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,55611,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,212,Dominica,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,684,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,308,Grenada,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,6087,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,328,Guyana,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,58671,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,388,Jamaica,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,100693,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,531,Curaçao,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,1508,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,662,Saint Lucia,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,36240,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,670,Saint Vincent and the Grenadines,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,33703,,,0
HS,2013,201301,January 2013,2,0,2,Exports,52,Barbados,,780,Trinidad and Tobago,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,1791,,,0
