pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,0,World,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,21621,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,384,Côte d'Ivoire,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,1360,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,562,Niger,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,11030,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,854,Burkina Faso,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,9230,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,0,World,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,,,51363,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,156,China,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,,,16149,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,266,Gabon,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,,,188,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,324,Guinea,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,,,1047,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,699,India,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,,,33979,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,0,World,,,,,,,,,73,Iron or steel articles,,,,,,,,,713606,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,56,Belgium,,,,,,,,,73,Iron or steel articles,,,,,,,,,12910,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,251,France,,,,,,,,,73,Iron or steel articles,,,,,,,,,20765,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,266,Gabon,,,,,,,,,73,Iron or steel articles,,,,,,,,,579455,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,562,Niger,,,,,,,,,73,Iron or steel articles,,,,,,,,,5720,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,566,Nigeria,,,,,,,,,73,Iron or steel articles,,,,,,,,,94756,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,0,World,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,11540,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,178,Congo,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,8610,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,266,Gabon,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,2930,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,0,World,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,2093,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,434,Libya,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,2093,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,0,World,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,2971515,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,56,Belgium,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,115579,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,251,France,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,479664,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,528,Netherlands,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,47341,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,566,Nigeria,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,1869338,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,757,Switzerland,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,358461,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,768,Togo,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,79690,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,784,United Arab Emirates,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,21442,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,0,World,,,,,,,,,30,Pharmaceutical products,,,,,,,,,145606,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,120,Cameroon,,,,,,,,,30,Pharmaceutical products,,,,,,,,,145606,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,0,World,,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",,,,,,,,,147616,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,562,Niger,,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",,,,,,,,,37790,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,768,Togo,,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",,,,,,,,,109825,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,0,World,,,,,,,,,40,Rubber and articles thereof,,,,,,,,,31020,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,226,Equatorial Guinea,,,,,,,,,40,Rubber and articles thereof,,,,,,,,,1465,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,251,France,,,,,,,,,40,Rubber and articles thereof,,,,,,,,,23820,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,266,Gabon,,,,,,,,,40,Rubber and articles thereof,,,,,,,,,5735,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,0,World,,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,,,,,,,,,6907,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,56,Belgium,,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,,,,,,,,,1674,,,0
HS,2014,201405,May 2014,2,0,2,Exports,204,Benin,,178,Congo,,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,,,,,,,,,5232,,,0
