pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,0,World,,,,,,,,,01,Animals; live,,,,,,,,,34779,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,204,Benin,,,,,,,,,01,Animals; live,,,,,,,,,310,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,566,Nigeria,,,,,,,,,01,Animals; live,,,,,,,,,32075,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,854,Burkina Faso,,,,,,,,,01,Animals; live,,,,,,,,,2394,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,1197,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,566,Nigeria,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,1197,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,0,World,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,48839,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,251,France,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,9288,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,702,Singapore,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,24752,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,764,Thailand,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,14799,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,0,World,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,1371105,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,854,Burkina Faso,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,1371105,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,0,World,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,10815,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,566,Nigeria,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,3715,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,854,Burkina Faso,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,7100,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,0,World,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,108906,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,12,Algeria,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,258,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,156,China,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,106584,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,466,Mali,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,2064,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,0,World,,,,,,,,,10,Cereals,,,,,,,,,900470,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,204,Benin,,,,,,,,,10,Cereals,,,,,,,,,110955,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,699,India,,,,,,,,,10,Cereals,,,,,,,,,123798,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,704,Viet Nam,,,,,,,,,10,Cereals,,,,,,,,,650163,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,764,Thailand,,,,,,,,,10,Cereals,,,,,,,,,15554,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,0,World,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,4076,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,854,Burkina Faso,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,4076,,,0
HS,2014,201407,July 2014,2,0,2,Exports,562,Niger,,0,World,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,2745043,,,0
