pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,208,Denmark,,,,,,,,,73,Iron or steel articles,,,,,,,0,,78,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,0,World,,,,,,,,,73,Iron or steel articles,,,,,,,0,,78,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,0,World,,,,,,,,,30,Pharmaceutical products,,,,,,,0,,326,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,208,Denmark,,,,,,,,,30,Pharmaceutical products,,,,,,,0,,326,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,208,Denmark,,,,,,,,,76,Aluminium and articles thereof,,,,,,,0,,196,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,0,World,,,,,,,,,76,Aluminium and articles thereof,,,,,,,0,,196,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,208,Denmark,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,78,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,0,World,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,78,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,208,Denmark,,,,,,,,,97,Works of art; collectors' pieces and antiques,,,,,,,0,,327,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,0,World,,,,,,,,,97,Works of art; collectors' pieces and antiques,,,,,,,0,,327,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,0,World,,,,,,,,,74,Copper and articles thereof,,,,,,,0,,5293,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,208,Denmark,,,,,,,,,74,Copper and articles thereof,,,,,,,0,,5293,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,0,World,,,,,,,,,99,Commodities not specified according to kind,,,,,,,0,,325864,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,208,Denmark,,,,,,,,,99,Commodities not specified according to kind,,,,,,,0,,325864,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,208,Denmark,,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",,,,,,,0,,16,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,0,World,,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",,,,,,,0,,16,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,0,World,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,4252452,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,208,Denmark,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,4252452,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,208,Denmark,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,0,,7246,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,0,,7246,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,208,Denmark,,,,,,,,,88,"Aircraft, spacecraft and parts thereof",,,,,,,0,,26333,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,0,World,,,,,,,,,88,"Aircraft, spacecraft and parts thereof",,,,,,,0,,26333,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,0,World,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,0,,16861,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,208,Denmark,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,0,,16861,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,0,World,,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",,,,,,,0,,2651,,,0
HS,2015,201501,January 2015,2,0,2,Exports,304,Greenland,,208,Denmark,,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",,,,,,,0,,2651,,,0
