pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,,,69,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,699,India,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,,,35,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,842,United States of America,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,,,35,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,18885,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,826,United Kingdom,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,18885,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,37078,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,826,United Kingdom,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,37078,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,1655178,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,56,Belgium,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,231202,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,528,Netherlands,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,1386898,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,826,United Kingdom,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,37078,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,10,Cereals,,,,,,,,,18539,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,826,United Kingdom,,,,,,,,,10,Cereals,,,,,,,,,18539,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,,,18539,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,826,United Kingdom,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,,,18539,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,97138,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,276,Germany,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,22937,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,528,Netherlands,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,18585,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,826,United Kingdom,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,55616,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,,,797439,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,276,Germany,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,,,57148,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,528,Netherlands,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,,,218947,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,842,United States of America,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,,,521344,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,18539,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,826,United Kingdom,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,18539,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,24,Tobacco and manufactured tobacco substitutes,,,,,,,,,24143,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,470,Malta,,,,,,,,,24,Tobacco and manufactured tobacco substitutes,,,,,,,,,24143,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,26,"Ores, slag and ash",,,,,,,,,87,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,203,Czech Rep.,,,,,,,,,26,"Ores, slag and ash",,,,,,,,,87,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,30,Pharmaceutical products,,,,,,,,,87,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,56,Belgium,,,,,,,,,30,Pharmaceutical products,,,,,,,,,35,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,276,Germany,,,,,,,,,30,Pharmaceutical products,,,,,,,,,35,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,842,United States of America,,,,,,,,,30,Pharmaceutical products,,,,,,,,,17,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,,,227640,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,156,China,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,,,190563,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,826,United Kingdom,,,,,,,,,44,Wood and articles of wood; wood charcoal,,,,,,,,,37078,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",,,,,,,,,6463,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,56,Belgium,,,,,,,,,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",,,,,,,,,6463,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",,,,,,,,,17,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,276,Germany,,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",,,,,,,,,17,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",,,,,,,,,35,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,251,France,,,,,,,,,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",,,,,,,,,35,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,,,35,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,251,France,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,,,17,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,276,Germany,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,,,17,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,0,World,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,,,35,,,0
HS,2016,201602,February 2016,2,0,2,Exports,694,Sierra Leone,,724,Spain,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,,,35,,,0
