pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,0,World,,,,,,,,,01,Animals; live,,,,,,,,,4670,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,36,Australia,,,,,,,,,01,Animals; live,,,,,,,,,63,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,124,Canada,,,,,,,,,01,Animals; live,,,,,,,0,,1254,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,392,Japan,,,,,,,,,01,Animals; live,,,,,,,0,,604,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,586,Pakistan,,,,,,,,,01,Animals; live,,,,,,,,,1353,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,792,Turkey,,,,,,,,,01,Animals; live,,,,,,,,,595,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,842,United States of America,,,,,,,,,01,Animals; live,,,,,,,0,,801,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,5571765,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,300,Greece,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,111369,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,381,Italy,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,4716277,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,392,Japan,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,364140,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,724,Spain,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,130917,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,842,United States of America,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,249062,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,0,World,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,,,33649,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,381,Italy,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,,,8035,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,704,Viet Nam,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,,,13406,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,842,United States of America,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,,,12208,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,0,World,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,1321,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,296,Kiribati,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,1002,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,520,Nauru,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,319,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,0,World,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,3323,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,36,Australia,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,3323,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,0,World,,,,,,,,,10,Cereals,,,,,,,0,,4636,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,520,Nauru,,,,,,,,,10,Cereals,,,,,,,0,,4636,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,0,World,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,1773047,,,0
HS,2016,201605,May 2016,2,0,2,Exports,90,Solomon Isds,,251,France,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,25057,,,0
