pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,732046,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,392,Japan,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,604342,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,842,United States of America,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,20342,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,899,"Areas, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,107362,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,0,World,,,,,,,,,10,Cereals,,,,,,,0,,21080,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,704,Viet Nam,,,,,,,,,10,Cereals,,,,,,,0,,21080,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,0,World,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,3558,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,392,Japan,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,3558,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,0,World,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,21392,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,583,FS Micronesia,,,,,,,,,40,Rubber and articles thereof,,,,,,,0,,21392,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,0,World,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,0,,25150,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,583,FS Micronesia,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,0,,150,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,899,"Areas, nes",,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,0,,25000,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,0,World,,,,,,,,,39,Plastics and articles thereof,,,,,,,0,,243,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,490,"Other Asia, nes",,,,,,,,,39,Plastics and articles thereof,,,,,,,0,,243,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0,,1509,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,490,"Other Asia, nes",,,,,,,,,72,Iron and steel,,,,,,,0,,1509,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,0,World,,,,,,,,,73,Iron or steel articles,,,,,,,0,,1000,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,316,Guam,,,,,,,,,73,Iron or steel articles,,,,,,,0,,1000,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,0,World,,,,,,,,,76,Aluminium and articles thereof,,,,,,,0,,3000,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,583,FS Micronesia,,,,,,,,,76,Aluminium and articles thereof,,,,,,,0,,3000,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,0,World,,,,,,,,,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.s.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",,,,,,,0,,350,,,0
HS,2019,201902,February 2019,2,0,2,Exports,585,Palau,,583,FS Micronesia,,,,,,,,,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.s.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",,,,,,,0,,350,,,0
