pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,500,Montserrat,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,2769,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,2769,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,500,Montserrat,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,454,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,842,United States of America,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,895,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,1348,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,842,United States of America,,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",,,,,,,0,,1637,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",,,,,,,0,,1637,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,23704,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,842,United States of America,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,23704,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,659,Saint Kitts and Nevis,,,,,,,,,39,Plastics and articles thereof,,,,,,,0,,6097,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,842,United States of America,,,,,,,,,39,Plastics and articles thereof,,,,,,,0,,5,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,39,Plastics and articles thereof,,,,,,,0,,6102,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,842,United States of America,,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",,,,,,,0,,13,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",,,,,,,0,,13,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,842,United States of America,,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",,,,,,,0,,132,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",,,,,,,0,,132,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,842,United States of America,,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,,,,,,,0,,1888,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,,,,,,,0,,1888,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,0,,755,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,842,United States of America,,,,,,,,,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",,,,,,,0,,755,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,842,United States of America,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,0,,25770,,,0
