pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,780,Trinidad and Tobago,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,445239,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,662,Saint Lucia,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,27995,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,842,United States of America,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,923740,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,2365069,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,52,Barbados,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,63625,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,388,Jamaica,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,596622,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,528,Netherlands,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,195912,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,757,Switzerland,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,94333,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,490,"Other Asia, nes",,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,17603,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,340,Honduras,,,,,,,,,24,Tobacco and manufactured tobacco substitutes,,,,,,,0,,226969,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,24,Tobacco and manufactured tobacco substitutes,,,,,,,0,,264797,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,842,United States of America,,,,,,,,,24,Tobacco and manufactured tobacco substitutes,,,,,,,0,,37828,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",,,,,,,0,,18143,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,780,Trinidad and Tobago,,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",,,,,,,0,,12655,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,136,Cayman Isds,,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",,,,,,,0,,5488,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,99,Commodities not specified according to kind,,,,,,,0,,3026,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,842,United States of America,,,,,,,,,99,Commodities not specified according to kind,,,,,,,0,,3026,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,724,Spain,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,105957,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,251,France,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,43578,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,372,Ireland,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,1258812,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,826,United Kingdom,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,2450576,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,56,Belgium,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,110126,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,3969049,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,124,Canada,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,37488,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,37488,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",,,,,,,0,,5192,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,320,Guatemala,,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",,,,,,,0,,5192,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,826,United Kingdom,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,10925,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,10925,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,842,United States of America,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,125262,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,300,Greece,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,153644,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,36,Australia,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,132050,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,724,Spain,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,191033,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,601989,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,262910,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,780,Trinidad and Tobago,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,18359,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,388,Jamaica,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,244551,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,12920,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,328,Guyana,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,12920,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,136,Cayman Isds,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,9234,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,484,Mexico,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,264373,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,340409,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,842,United States of America,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,66801,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,320,Guatemala,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,0,,366488,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,0,,871471,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,591,Panama,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,0,,11735,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,222,El Salvador,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,0,,8803,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,842,United States of America,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,0,,484444,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,381,Italy,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,64062,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,677383,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,780,Trinidad and Tobago,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,22905,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,376,Israel,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,76871,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,842,United States of America,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,277318,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,276,Germany,,,,,,,,,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",,,,,,,0,,118967,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,388,Jamaica,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,352853,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,381,Italy,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,25688,,,0
HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,328,Guyana,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,162275,,,0
