pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,01,Animals; live,,,,,,,0,,93923,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,710,South Africa,,,,,,,,,01,Animals; live,,,,,,,0,,93923,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,462074,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,710,South Africa,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,462074,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,2375,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,710,South Africa,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,2375,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,0,,61835,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,688,Serbia,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,0,,12369,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,842,United States of America,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,0,,49467,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,1263,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,276,Germany,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,47,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,710,South Africa,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,1216,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,43443,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,710,South Africa,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,43443,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,77773,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,276,Germany,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,68279,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,710,South Africa,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,9433,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,842,United States of America,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,61,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,445575,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,710,South Africa,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,433236,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,826,United Kingdom,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,12338,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,10,Cereals,,,,,,,0,,17426,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,710,South Africa,,,,,,,,,10,Cereals,,,,,,,0,,17426,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,146062,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,276,Germany,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,137795,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,710,South Africa,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,8268,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,1557,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,156,China,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,0,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,710,South Africa,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,1557,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,695,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,710,South Africa,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,695,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,113177,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,710,South Africa,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,113177,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,0,,366,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,710,South Africa,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,0,,366,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,693,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,710,South Africa,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,693,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,23282,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,72,Botswana,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,110,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,710,South Africa,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,23166,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,842,United States of America,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,6,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,2482,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,710,South Africa,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,2482,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,0,,178176,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,710,South Africa,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,0,,178176,,,0
HS,2020,202005,May 2020,2,0,2,Exports,426,Lesotho,,0,World,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,0,,106638,,,0
