pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2021,202110,October 2021,2,0,2,Exports,724,Spain,,0,World,,,,,,,,,99,Commodities not specified according to kind,,,,,,,0,,1711606709,,,0
HS,2021,202110,October 2021,2,0,2,Exports,724,Spain,,12,Algeria,,,,,,,,,99,Commodities not specified according to kind,,,,,,,0,,3445555,,,0
HS,2021,202110,October 2021,2,0,2,Exports,724,Spain,,52,Barbados,,,,,,,,,99,Commodities not specified according to kind,,,,,,,0,,1025,,,0
HS,2021,202110,October 2021,2,0,2,Exports,724,Spain,,56,Belgium,,,,,,,,,99,Commodities not specified according to kind,,,,,,,0,,84905667,,,0
HS,2021,202110,October 2021,2,0,2,Exports,724,Spain,,90,Solomon Isds,,,,,,,,,99,Commodities not specified according to kind,,,,,,,0,,91,,,0
HS,2021,202110,October 2021,2,0,2,Exports,724,Spain,,140,Central African Rep.,,,,,,,,,99,Commodities not specified according to kind,,,,,,,0,,13970,,,0
HS,2021,202110,October 2021,2,0,2,Exports,724,Spain,,144,Sri Lanka,,,,,,,,,99,Commodities not specified according to kind,,,,,,,0,,8608,,,0
HS,2021,202110,October 2021,2,0,2,Exports,724,Spain,,148,Chad,,,,,,,,,99,Commodities not specified according to kind,,,,,,,0,,11978,,,0
HS,2021,202110,October 2021,2,0,2,Exports,724,Spain,,188,Costa Rica,,,,,,,,,99,Commodities not specified according to kind,,,,,,,0,,287139,,,0
HS,2021,202110,October 2021,2,0,2,Exports,724,Spain,,238,Falkland Isds (Malvinas),,,,,,,,,99,Commodities not specified according to kind,,,,,,,0,,1187,,,0
HS,2021,202110,October 2021,2,0,2,Exports,724,Spain,,242,Fiji,,,,,,,,,99,Commodities not specified according to kind,,,,,,,0,,1734,,,0
