pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,0,World,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,911316,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,124,Canada,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,7630,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,170,Colombia,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,237802,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,320,Guatemala,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,267830,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,484,Mexico,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,18339,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,662,Saint Lucia,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,269,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,780,Trinidad and Tobago,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,109993,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,826,United Kingdom,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,85038,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,842,United States of America,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,,,184415,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,0,World,,,,,,,,,10,Cereals,,,,,,,,,4499156,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,76,Brazil,,,,,,,,,10,Cereals,,,,,,,,,93180,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,124,Canada,,,,,,,,,10,Cereals,,,,,,,,,3004164,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,156,China,,,,,,,,,10,Cereals,,,,,,,,,295,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,842,United States of America,,,,,,,,,10,Cereals,,,,,,,,,1401518,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,0,World,,,,,,,,,38,Chemical products n.e.s.,,,,,,,,,1091258,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,52,Barbados,,,,,,,,,38,Chemical products n.e.s.,,,,,,,,,18193,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,56,Belgium,,,,,,,,,38,Chemical products n.e.s.,,,,,,,,,174462,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,124,Canada,,,,,,,,,38,Chemical products n.e.s.,,,,,,,,,105,,,0
HS,2013,201307,July 2013,2,0,1,Imports,328,Guyana,,156,China,,,,,,,,,38,Chemical products n.e.s.,,,,,,,,,289210,,,0
