pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,826,United Kingdom,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,2044,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,528,Netherlands,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,108741,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,842,United States of America,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,144498,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,156,China,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,326,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,208,Denmark,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,69061,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,124,Canada,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,22930,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,604,Peru,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,30786,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,554,New Zealand,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,254293,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,780,Trinidad and Tobago,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,156921,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,52,Barbados,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,8980,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,0,World,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,798580,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,124,Canada,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,5953,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,780,Trinidad and Tobago,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,1123,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,156,China,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,972,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,899,"Areas, nes",,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,23,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,826,United Kingdom,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,106,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,208,Denmark,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,107990,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,842,United States of America,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,156353,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,0,World,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,272519,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,76,Brazil,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,394959,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,0,World,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,1281753,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,780,Trinidad and Tobago,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,93,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,842,United States of America,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,774751,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,124,Canada,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,111950,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,780,Trinidad and Tobago,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,2143,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,0,World,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,75015,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,156,China,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,194,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,842,United States of America,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,60206,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,826,United Kingdom,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,12473,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,842,United States of America,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,26779,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,170,Colombia,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,9373,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,388,Jamaica,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,2579,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,826,United Kingdom,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,748,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,780,Trinidad and Tobago,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,181,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,0,World,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,40237,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,156,China,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,576,,,0
HS,2014,201401,January 2014,2,0,1,Imports,308,Grenada,,52,Barbados,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,0,,36,,,0
