pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,0,World,,,,,,,,,01,Animals; live,,,,,,,,,4075,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,842,United States of America,,,,,,,,,01,Animals; live,,,,,,,,,4075,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,0,World,,,,,,,,,02,Meat and edible meat offal,,,,,,,,,424542,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,842,United States of America,,,,,,,,,02,Meat and edible meat offal,,,,,,,,,424542,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,77844,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,36,Australia,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,17898,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,316,Guam,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,288,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,344,"China, Hong Kong SAR",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,1394,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,392,Japan,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,1177,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,608,Philippines,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,10303,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,842,United States of America,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,,,46784,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,0,World,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,220448,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,36,Australia,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,2,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,316,Guam,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,1367,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,1990,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,608,Philippines,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,16950,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,702,Singapore,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,4466,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,757,Switzerland,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,105,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,842,United States of America,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,195568,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,0,World,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,,,8308,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,410,Rep. of Korea,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,,,7189,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,490,"Other Asia, nes",,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,,,441,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,842,United States of America,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,,,677,,,0
HS,2015,201501,January 2015,2,0,1,Imports,585,Palau,,0,World,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,,,5835,,,0
