pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,36,Australia,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,13992,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,36,Australia,,,,,,,,,30,Pharmaceutical products,,,,,,,,,44118,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,36,Australia,,,,,,,,,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",,,,,,,0,,1262,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,36,Australia,,,,,,,,,61,Apparel and clothing accessories; knitted or crocheted,,,,,,,0,,2342,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,36,Australia,,,,,,,,,62,Apparel and clothing accessories; not knitted or crocheted,,,,,,,,,1369,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,36,Australia,,,,,,,,,64,Footwear; gaiters and the like; parts of such articles,,,,,,,0,,615,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,56,Belgium,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,5971,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,104,Myanmar,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,,,315,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,116,Cambodia,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,,,1063,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,124,Canada,,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",,,,,,,,,17471,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,124,Canada,,,,,,,,,31,Fertilizers,,,,,,,0,,1445,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,124,Canada,,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",,,,,,,0,,339,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,152,Chile,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,0,,84997,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,156,China,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,1350,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,156,China,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,22000,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,156,China,,,,,,,,,17,Sugars and sugar confectionery,,,,,,,0,,1432,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,156,China,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,20182,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,156,China,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,0,,360,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,156,China,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,0,,135,,,0
HS,2016,201612,December 2016,2,0,1,Imports,418,Lao People's Dem. Rep.,,156,China,,,,,,,,,24,Tobacco and manufactured tobacco substitutes,,,,,,,0,,35000,,,0
