pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,0,World,,,,,,,,,02,Meat and edible meat offal,,,,,,,,,103621,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,842,United States of America,,,,,,,,,02,Meat and edible meat offal,,,,,,,,,103621,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,0,World,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,93217,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,422,Lebanon,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,13631,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,458,Malaysia,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,26583,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,784,United Arab Emirates,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,23179,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,826,United Kingdom,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,29825,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,0,World,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,13631,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,422,Lebanon,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,13631,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,0,World,,,,,,,,,10,Cereals,,,,,,,,,67721,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,784,United Arab Emirates,,,,,,,,,10,Cereals,,,,,,,,,63792,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,842,United States of America,,,,,,,,,10,Cereals,,,,,,,,,3929,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,0,World,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,,,133671,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,428,Latvia,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,,,95365,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,792,Turkey,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,,,38306,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,0,World,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,13631,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,422,Lebanon,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,13631,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,0,World,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,,,14912,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,826,United Kingdom,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,,,14912,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,0,World,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,117528,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,422,Lebanon,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,13631,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,699,India,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,59161,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,826,United Kingdom,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,44737,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,0,World,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,83066,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,422,Lebanon,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,68153,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,826,United Kingdom,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,14912,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,0,World,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,51017,,,0
HS,2016,201602,February 2016,2,0,1,Imports,694,Sierra Leone,,422,Lebanon,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,,,13631,,,0
