pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,780,Trinidad and Tobago,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,3614,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,56,Belgium,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,55761,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,842,United States of America,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,159305,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,528,Netherlands,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,221905,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,554,New Zealand,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,513,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,484,Mexico,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,7428,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,276,Germany,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,20615,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,388,Jamaica,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,255396,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,466,Mali,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,40814,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,251,France,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,418,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,604,Peru,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,68050,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,826,United Kingdom,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,67726,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,901544,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,251,France,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,90,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,842,United States of America,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,409443,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,672769,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,381,Italy,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,10,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,152,Chile,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,321,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,124,Canada,,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",,,,,,,0,,103248,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,381,Italy,,,,,,,,,10,Cereals,,,,,,,0,,37,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,764,Thailand,,,,,,,,,10,Cereals,,,,,,,0,,17,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,10,Cereals,,,,,,,0,,210363,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,328,Guyana,,,,,,,,,10,Cereals,,,,,,,0,,103839,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,826,United Kingdom,,,,,,,,,10,Cereals,,,,,,,0,,2719,,,0
HS,2020,202004,April 2020,2,0,1,Imports,28,Antigua and Barbuda,,156,China,,,,,,,,,10,Cereals,,,,,,,0,,3508,,,0
