pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2020,202005,May 2020,2,0,1,Imports,84,Belize,,0,World,,,,,,,,,01,Animals; live,,,,,,,0,,102711,,,0
HS,2020,202005,May 2020,2,0,1,Imports,84,Belize,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,252,,,0
HS,2020,202005,May 2020,2,0,1,Imports,84,Belize,,0,World,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,246354,,,0
HS,2020,202005,May 2020,2,0,1,Imports,84,Belize,,156,China,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,64,,,0
HS,2020,202005,May 2020,2,0,1,Imports,84,Belize,,124,Canada,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,2035,,,0
HS,2020,202005,May 2020,2,0,1,Imports,84,Belize,,0,World,,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",,,,,,,0,,233,,,0
HS,2020,202005,May 2020,2,0,1,Imports,84,Belize,,0,World,,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,,,,,,,0,,177,,,0
HS,2020,202005,May 2020,2,0,1,Imports,84,Belize,,0,World,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,2098567,,,0
HS,2020,202005,May 2020,2,0,1,Imports,84,Belize,,124,Canada,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,30599,,,0
HS,2020,202005,May 2020,2,0,1,Imports,84,Belize,,842,United States of America,,,,,,,,,01,Animals; live,,,,,,,0,,102711,,,0
HS,2020,202005,May 2020,2,0,1,Imports,84,Belize,,842,United States of America,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,6,,,0
HS,2020,202005,May 2020,2,0,1,Imports,84,Belize,,484,Mexico,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,246,,,0
HS,2020,202005,May 2020,2,0,1,Imports,84,Belize,,490,"Other Asia, nes",,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,424,,,0
