pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,218,Ecuador,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,,,4126,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,136,Cayman Isds,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,,,906,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,699,India,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,,,189,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,124,Canada,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,0,,240573,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,208,Denmark,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,,,1924,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,344,"China, Hong Kong SAR",,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,0,,1556,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,392,Japan,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,,,6293,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,528,Netherlands,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,,,628,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,251,France,,,,,,,,,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",,,,,,,,,14,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,842,United States of America,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,293094,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,704,Viet Nam,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,105235,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,826,United Kingdom,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,50543,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,156,China,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,42151,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,764,Thailand,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,49758,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,381,Italy,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,,,29350,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,348,Hungary,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,,,16462,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,0,World,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,,,715109,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,360,Indonesia,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,37853,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,276,Germany,,,,,,,,,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",,,,,,,0,,4947,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,842,United States of America,,,,,,,,,01,Animals; live,,,,,,,,,1515,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,826,United Kingdom,,,,,,,,,01,Animals; live,,,,,,,,,5525,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,0,World,,,,,,,,,01,Animals; live,,,,,,,,,7040,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,826,United Kingdom,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,29209,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,0,World,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,1656714,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,842,United States of America,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,1627272,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,381,Italy,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,232,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,842,United States of America,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,725104,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,816256,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,704,Viet Nam,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,84560,,,0
HS,2020,202004,April 2020,2,0,1,Imports,60,Bermuda,,826,United Kingdom,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,6592,,,0
