pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,699,India,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,226,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,0,World,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,2297536,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,156,China,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,806,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,528,Netherlands,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,40485,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,710,South Africa,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,2256019,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,0,World,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,274017,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,784,United Arab Emirates,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,3258,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,56,Belgium,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,1856,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,276,Germany,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,573,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,757,Switzerland,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,3445,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,76,Brazil,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,82,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,156,China,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,208,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,710,South Africa,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,264576,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,616,Poland,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,19,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,0,World,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,2543763,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,834,United Rep. of Tanzania,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,251,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,208,Denmark,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,693,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,826,United Kingdom,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,322,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,440,Lithuania,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,152,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,842,United States of America,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,1071,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,276,Germany,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,643,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,76,Brazil,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,57,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,792,Turkey,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,61909,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,156,China,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,372,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,381,Italy,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,1363,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,699,India,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,621,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,288,Ghana,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,18,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,710,South Africa,,,,,,,,,21,Miscellaneous edible preparations,,,,,,,0,,2476289,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,710,South Africa,,,,,,,,,26,"Ores, slag and ash",,,,,,,0,,1844,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,0,World,,,,,,,,,26,"Ores, slag and ash",,,,,,,0,,1844,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,0,World,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,17155451,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,156,China,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,130,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,710,South Africa,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,14805628,,,0
HS,2020,202004,April 2020,2,0,1,Imports,72,Botswana,,784,United Arab Emirates,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,0,,31115,,,0
