pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,0,World,,,,,,,,,01,Animals; live,,,,,,,0,,191489,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,710,South Africa,,,,,,,,,01,Animals; live,,,,,,,0,,191489,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,0,World,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,1655864,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,710,South Africa,,,,,,,,,02,Meat and edible meat offal,,,,,,,0,,1655864,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,0,World,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,12261,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,5,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,710,South Africa,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,,,,,0,,12256,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,0,World,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,1484276,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,56,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,710,South Africa,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,1482507,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,899,"Areas, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,1713,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,0,World,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,764031,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,490,"Other Asia, nes",,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,55,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,710,South Africa,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,763850,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,748,Swaziland,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,42,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,899,"Areas, nes",,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,0,,83,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,0,World,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,0,,6752,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,710,South Africa,,,,,,,,,05,Animal originated products; not elsewhere specified or included,,,,,,,0,,6752,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,0,World,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,0,,13,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,710,South Africa,,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",,,,,,,0,,13,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,0,World,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,278074,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,490,"Other Asia, nes",,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,21,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,710,South Africa,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,0,,278053,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,0,World,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,626546,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,490,"Other Asia, nes",,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,17,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,710,South Africa,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,556441,,,0
HS,2020,202004,April 2020,2,0,1,Imports,426,Lesotho,,899,"Areas, nes",,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,0,,70088,,,0
